0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:19 +0900] "GET /Ex_1223_Borad/img/btn_reg.gif HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:19 +0900] "GET /Ex_1223_Borad/img/btn_back.gif HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:19 +0900] "GET /Ex_1223_Borad/board_write.jsp HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:19 +0900] "GET /Ex_1223_Borad/img/btn_reg.gif HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:19 +0900] "GET /Ex_1223_Borad/img/btn_back.gif HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:50 +0900] "GET /Ex_1223_Borad/list.do&page= HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:55 +0900] "GET /Ex_1223_Borad/list.do&page= HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:56 +0900] "GET /Ex_1223_Borad/list.do&page= HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:56 +0900] "GET /Ex_1223_Borad/list.do&page= HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:56 +0900] "GET /Ex_1223_Borad/list.do&page= HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:56 +0900] "GET /Ex_1223_Borad/list.do&page= HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:56 +0900] "GET /Ex_1223_Borad/list.do&page= HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:57 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:57 +0900] "GET /Ex_1223_Borad/list.do&page= HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:57 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:57 +0900] "GET /Ex_1223_Borad/list.do&page= HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:57 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:57 +0900] "GET /Ex_1223_Borad/list.do&page= HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:57 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:57 +0900] "GET /Ex_1223_Borad/list.do&page= HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:46:57 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:47:00 +0900] "GET /Ex_1223_Borad/board_write.jsp HTTP/1.1" 200 1299
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:47:00 +0900] "GET /Ex_1223_Borad/board_write.jsp HTTP/1.1" 200 1299
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:47:00 +0900] "GET /Ex_1223_Borad/img/btn_back.gif HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:47:00 +0900] "GET /Ex_1223_Borad/img/btn_reg.gif HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:47:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:47:03 +0900] "GET /Ex_1223_Borad/list.do HTTP/1.1" 200 3806
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:49:38 +0900] "GET /Ex_1223_Borad/view.do?idx=5&page= HTTP/1.1" 200 2212
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:51:13 +0900] "GET /Ex_1223_Borad/list.do?page= HTTP/1.1" 200 3806
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:51:16 +0900] "GET /Ex_1223_Borad/list.do?page=3 HTTP/1.1" 200 2807
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:51:18 +0900] "GET /Ex_1223_Borad/view.do?idx=25&page=3 HTTP/1.1" 200 2137
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:51:19 +0900] "GET /Ex_1223_Borad/list.do?page=3 HTTP/1.1" 200 2807
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:51:21 +0900] "GET /Ex_1223_Borad/list.do?page=2 HTTP/1.1" 200 3974
0:0:0:0:0:0:0:1 - - [04/Jan/2022:08:51:23 +0900] "GET /Ex_1223_Borad/view.do?idx=41&page=2 HTTP/1.1" 200 2148
